gene,direction
AMMECR1,down
AOC1,down
AREG,up
ARPC3,up
ASNS,down
ASS1,down
ATOH8,up
ATP6V0A4,down
C1orf210,down
CALML3-AS1,down
CCNYL1,up
CDH1,down
CDK6,up
CDKN1B,up
CMTM3,up
CMTM4,down
CNIH3,down
COX7C,up
CST7,down
DPEP1,down
EDAR,down
EHF,down
ELL2,down
ENSG00000227619,down
ENSG00000249574,down
ENSG00000260328,down
ENSG00000278291,down
ENSG00000293970,down
ENSG00000302910,down
ENSG00000303085,down
EPHA1,down
EREG,up
FAM169A,down
FGF13,down
FGFBP1,down
FILIP1L,up
FXYD3,down
GPR119,down
HCFC2,down
HKDC1,down
HMGCS1,down
IL21R,down
ITGB7,down
KIF21B,down
KRT81,down
LAPTM5,down
LASTR,down
LGALS7B,down
LGR6,down
LINC00239,down
LINC02418,up
LINC02970,down
LINC03040,down
LNX1,up
LRATD2,down
LYZ,down
MBNL2,down
MGAT4B,up
MRFAP1,down
MYOF,down
NADK2,down
NET1,down
NGFR,down
PAQR8,down
PDSS2,down
PPCS,up
PRF1,down
PRSS2,down
PTPN22,down
RAB12,up
RAB6A,down
RABL6,up
RCSD1,down
RRAGD,up
RYR1,down
S100A14,down
S100A3,down
SAMD9,down
SARAF,down
SCNN1A,down
SERPINF2,down
SKA2,up
SLC5A3,down
SMIM24,down
SNX16,up
SPNS3,down
STX16-NPEPL1,up
TFF2,down
TGM2,down
TIMP2,up
TMEM106B,down
TMEM154,down
TRIM2,down
TSPAN1,down
TTLL7,up
TULP3,up
UNC13A,down
WASL,up
WDFY1,down
